LEGO,Theme,Set Number,Set Name,Release Date,Minifigures,Piece Count,MSRP,PPP,PPM,Dahlen,,,,Garrett,Mom,Dad,,
FALSE,Star Wars,75380,Mos Espa Podrace,2024,0,718,$79.99,$0.11,-,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,
TRUE,The Lego Movie,70800,Getaway Glider,2014,3,89,$12.99,$0.15,$4.33,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
TRUE,The Lego Movie,70801,Melting Room,2014,3,108,$12.99,$0.12,$4.33,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,The Lego Movie,30282,Super Secret Police Enforcer Polybag,2014,1,35,$4.99,$0.14,$4.99,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,The Lego Movie 2,30527,Lucy vs. Alien Invader Polybag,2019,1,38,$4.99,$0.13,$4.99,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
TRUE,The Lego Ninjago Movie,70610,Flying Jelly Sub,2017,4,322,$29.99,$0.09,$7.50,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
TRUE,The Lego Ninjago Movie,30609,Lloyd Polybag,2017,1,2,$0.00,$0.00,$0.00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
TRUE,The Lego Ninjago Movie,70607,Ninjago City Chase,2017,5,213,$19.99,$0.09,$4.00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
TRUE,The Lego Ninjago Movie,30379,Quake Mech Ploybag,2017,0,64,$4.99,$0.08,-,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
TRUE,The Lego Ninjago Movie,70606,Spinjitzu Training,2017,2,97,$9.99,$0.10,$5.00,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
TRUE,The Lego Ninjago Movie,70611,Water Strider,2017,4,473,$29.99,$0.06,$7.50,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
FALSE,The Lone Ranger,79107,Comanche Camp,2013,3,148,$19.99,$0.14,$6.66,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,The Lone Ranger,79111,Constitution Train Chase,2013,7,670,$99.99,$0.15,$14.28,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
FALSE,The Lone Ranger,79108,Stagecoach Escape,2013,5,255,$29.99,$0.12,$6.00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,The Lone Ranger,30260,The Lone Ranger's Pump Car Polybag,2013,1,20,$3.99,$0.20,$3.99,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,The Lone Ranger,30261,Tonto's Campfire Polybag,2013,1,15,$3.99,$0.27,$3.99,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,TMNT,79100,Kraang Lab Escape,2013,2,83,$12.99,$0.16,$6.50,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,TMNT,79118,Karai Bike Escape,2014,2,80,$12.99,$0.16,$6.50,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,129
